doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
all	all	en	amh	challenge_SSA-MTE	hyp1	all	NaN	28.9617
all	all	en	hau	challenge_SSA-MTE	hyp1	all	NaN	26.3983
all	all	en	kik	challenge_SSA-MTE	hyp1	all	NaN	7.9405
all	all	en	kin	challenge_SSA-MTE	hyp1	all	NaN	28.0309
all	all	en	luo	challenge_SSA-MTE	hyp1	all	NaN	14.0561
all	all	en	twi	challenge_SSA-MTE	hyp1	all	NaN	18.4928
all	all	en	yor	challenge_SSA-MTE	hyp1	all	NaN	13.3211
all	all	fr	ewe	challenge_SSA-MTE	hyp1	all	NaN	15.4227
all	all	fr	wol	challenge_SSA-MTE	hyp1	all	NaN	7.9954
all	all	pt	nya	challenge_SSA-MTE	hyp1	all	NaN	8.9989
all	all	pt	vmw	challenge_SSA-MTE	hyp1	all	NaN	8.0416
all	all	ja	zh_CN	challenge_mslc-a	hyp-1	all	NaN	0.0766
all	all	ja	zh_CN	challenge_mslc-a	hyp-2	all	NaN	2.7033
all	all	ja	zh_CN	challenge_mslc-a	hyp-3	all	NaN	6.7450
all	all	ja	zh_CN	challenge_mslc-a	hyp-4	all	NaN	10.5174
all	all	ja	zh_CN	challenge_mslc-a	hyp-5	all	NaN	13.3515
all	all	ja	zh_CN	challenge_mslc-a	hyp-6	all	NaN	15.8927
all	all	cs	en	challenge_mslc-b	hyp-1	all	NaN	95.5123
all	all	cs	en_GB	challenge_mslc-b	hyp-1	all	NaN	95.5123
all	all	cs	en_US	challenge_mslc-b	hyp-1	all	NaN	95.5123
all	all	ja	zh_CN	challenge_mslc-b	hyp-1	all	NaN	0.0000
all	all	ja	zh_CN	challenge_mslc-b1	hyp-1	all	NaN	0.1243
all	all	ja	zh_CN	challenge_mslc-b1	hyp-2	all	NaN	73.9222
all	all	cs	de_DE	official	Algharb	all	ESA	47.5033
all	all	cs	de_DE	official	AyaExpanse-32B	all	ESA	46.6839
all	all	cs	de_DE	official	AyaExpanse-8B	all	ESA	40.7549
all	all	cs	de_DE	official	CUNI-MH-v2	all	ESA	37.7465
all	all	cs	de_DE	official	Claude-4	all	ESA	49.4486
all	all	cs	de_DE	official	CommandA-MT	all	ESA	48.9024
