doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.973499
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.988195
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.988195
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	1.000000
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.980450
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.980450
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.928867
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.934660
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.753152
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.928867
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.969795
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.898628
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.898015
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.969795
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.898015
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.950431
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.940271
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.907535
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.884229
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.907535
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.950431
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.996448
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	1.000000
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	1.000000
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.998869
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.987856
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.993510
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.996677
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.998788
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.996677
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.998788
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.998548
32	33	en	amh	challenge_SSA-MTE	hyp1	News	NaN	1.000000
33	34	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.998548
34	35	en	amh	challenge_SSA-MTE	hyp1	News	NaN	1.000000
35	36	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.998049
36	37	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.998049
37	38	en	amh	challenge_SSA-MTE	hyp1	News	NaN	1.000000
38	39	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.999252
39	40	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.997112
40	41	en	amh	challenge_SSA-MTE	hyp1	News	NaN	1.000000
41	42	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.997112
42	43	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.883688
43	44	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.883881
44	45	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.906482
45	46	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.883688
46	47	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.996677
47	48	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.996677
48	49	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.890035
49	50	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.993510
50	51	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.993510
51	52	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.996677
52	53	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.913584
53	54	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.913144
54	55	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.913584
55	56	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.910764
56	57	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.913584
57	58	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.906439
58	59	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.965605
59	60	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.971757
60	61	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.913781
61	62	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.921945
62	63	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.914241
63	64	en	amh	challenge_SSA-MTE	hyp1	News	NaN	1.000000
64	65	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.998788
65	66	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.788529
66	67	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.998940
67	68	en	amh	challenge_SSA-MTE	hyp1	News	NaN	1.000000
