doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	6.5673
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	5.5224
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	6.5673
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	9.6524
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	6.5673
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	6.5673
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	5.8545
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	6.2747
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.9230
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.9230
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	17.1127
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	3.9298
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	17.2034
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	17.1127
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	17.1127
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	11.0032
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	6.0116
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	11.7875
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	3.3143
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	3.9414
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	11.0032
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	8.5153
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	7.8098
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	6.5673
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	9.0423
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.0000
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	6.8706
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	11.0448
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	11.0448
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	13.1345
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	16.3412
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	15.6197
32	33	en	amh	challenge_SSA-MTE	hyp1	News	NaN	22.9575
33	34	en	amh	challenge_SSA-MTE	hyp1	News	NaN	36.5555
34	35	en	amh	challenge_SSA-MTE	hyp1	News	NaN	19.6407
35	36	en	amh	challenge_SSA-MTE	hyp1	News	NaN	24.7369
36	37	en	amh	challenge_SSA-MTE	hyp1	News	NaN	19.3577
37	38	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.9900
38	39	en	amh	challenge_SSA-MTE	hyp1	News	NaN	24.8084
39	40	en	amh	challenge_SSA-MTE	hyp1	News	NaN	9.2875
40	41	en	amh	challenge_SSA-MTE	hyp1	News	NaN	10.5527
41	42	en	amh	challenge_SSA-MTE	hyp1	News	NaN	26.7087
42	43	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.0086
43	44	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.6356
44	45	en	amh	challenge_SSA-MTE	hyp1	News	NaN	29.4766
45	46	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.3075
46	47	en	amh	challenge_SSA-MTE	hyp1	News	NaN	36.7415
47	48	en	amh	challenge_SSA-MTE	hyp1	News	NaN	24.1772
48	49	en	amh	challenge_SSA-MTE	hyp1	News	NaN	21.1053
49	50	en	amh	challenge_SSA-MTE	hyp1	News	NaN	19.7406
50	51	en	amh	challenge_SSA-MTE	hyp1	News	NaN	32.5880
51	52	en	amh	challenge_SSA-MTE	hyp1	News	NaN	21.8466
52	53	en	amh	challenge_SSA-MTE	hyp1	News	NaN	12.2562
53	54	en	amh	challenge_SSA-MTE	hyp1	News	NaN	32.2601
54	55	en	amh	challenge_SSA-MTE	hyp1	News	NaN	11.9901
55	56	en	amh	challenge_SSA-MTE	hyp1	News	NaN	6.9622
56	57	en	amh	challenge_SSA-MTE	hyp1	News	NaN	10.9233
57	58	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.3962
58	59	en	amh	challenge_SSA-MTE	hyp1	News	NaN	8.1309
59	60	en	amh	challenge_SSA-MTE	hyp1	News	NaN	13.5323
60	61	en	amh	challenge_SSA-MTE	hyp1	News	NaN	22.4993
61	62	en	amh	challenge_SSA-MTE	hyp1	News	NaN	3.8902
62	63	en	amh	challenge_SSA-MTE	hyp1	News	NaN	3.3143
63	64	en	amh	challenge_SSA-MTE	hyp1	News	NaN	19.0708
64	65	en	amh	challenge_SSA-MTE	hyp1	News	NaN	13.1345
65	66	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.9900
66	67	en	amh	challenge_SSA-MTE	hyp1	News	NaN	16.7845
67	68	en	amh	challenge_SSA-MTE	hyp1	News	NaN	7.2679
68	69	en	amh	challenge_SSA-MTE	hyp1	News	NaN	16.4812
69	70	en	amh	challenge_SSA-MTE	hyp1	News	NaN	14.4168
70	71	en	amh	challenge_SSA-MTE	hyp1	News	NaN	31.4023
71	72	en	amh	challenge_SSA-MTE	hyp1	News	NaN	25.0345
72	73	en	amh	challenge_SSA-MTE	hyp1	News	NaN	15.2439
73	74	en	amh	challenge_SSA-MTE	hyp1	News	NaN	16.4812
74	75	en	amh	challenge_SSA-MTE	hyp1	News	NaN	37.2009
75	76	en	amh	challenge_SSA-MTE	hyp1	News	NaN	10.1280
76	77	en	amh	challenge_SSA-MTE	hyp1	News	NaN	10.1280
77	78	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.0000
78	79	en	amh	challenge_SSA-MTE	hyp1	News	NaN	8.5166
79	80	en	amh	challenge_SSA-MTE	hyp1	News	NaN	13.3543
80	81	en	amh	challenge_SSA-MTE	hyp1	News	NaN	10.7293
81	82	en	amh	challenge_SSA-MTE	hyp1	News	NaN	11.2085
82	83	en	amh	challenge_SSA-MTE	hyp1	News	NaN	11.2085
83	84	en	amh	challenge_SSA-MTE	hyp1	News	NaN	13.8790
84	85	en	amh	challenge_SSA-MTE	hyp1	News	NaN	11.2296
85	86	en	amh	challenge_SSA-MTE	hyp1	News	NaN	43.0734
86	87	en	amh	challenge_SSA-MTE	hyp1	News	NaN	17.0466
87	88	en	amh	challenge_SSA-MTE	hyp1	News	NaN	3.6354
88	89	en	amh	challenge_SSA-MTE	hyp1	News	NaN	15.6197
89	90	en	amh	challenge_SSA-MTE	hyp1	News	NaN	20.5480
90	91	en	amh	challenge_SSA-MTE	hyp1	News	NaN	7.2679
91	92	en	amh	challenge_SSA-MTE	hyp1	News	NaN	21.5063
92	93	en	amh	challenge_SSA-MTE	hyp1	News	NaN	13.1345
93	94	en	amh	challenge_SSA-MTE	hyp1	News	NaN	10.5527
94	95	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.4569
95	96	en	amh	challenge_SSA-MTE	hyp1	News	NaN	5.5224
96	97	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.0000
97	98	en	amh	challenge_SSA-MTE	hyp1	News	NaN	6.2747
98	99	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.2782
99	100	en	amh	challenge_SSA-MTE	hyp1	News	NaN	17.0653
100	101	en	amh	challenge_SSA-MTE	hyp1	News	NaN	17.0653
101	102	en	amh	challenge_SSA-MTE	hyp1	News	NaN	17.1127
102	103	en	amh	challenge_SSA-MTE	hyp1	News	NaN	17.0653
103	104	en	amh	challenge_SSA-MTE	hyp1	News	NaN	10.6933
104	105	en	amh	challenge_SSA-MTE	hyp1	News	NaN	3.9833
105	106	en	amh	challenge_SSA-MTE	hyp1	News	NaN	26.2025
106	107	en	amh	challenge_SSA-MTE	hyp1	News	NaN	10.6003
107	108	en	amh	challenge_SSA-MTE	hyp1	News	NaN	8.5913
108	109	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.7369
109	110	en	amh	challenge_SSA-MTE	hyp1	News	NaN	5.6698
110	111	en	amh	challenge_SSA-MTE	hyp1	News	NaN	12.2231
111	112	en	amh	challenge_SSA-MTE	hyp1	News	NaN	20.5567
112	113	en	amh	challenge_SSA-MTE	hyp1	News	NaN	35.6403
113	114	en	amh	challenge_SSA-MTE	hyp1	News	NaN	51.6973
114	115	en	amh	challenge_SSA-MTE	hyp1	News	NaN	5.6797
115	116	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.2663
116	117	en	amh	challenge_SSA-MTE	hyp1	News	NaN	5.1146
117	118	en	amh	challenge_SSA-MTE	hyp1	News	NaN	6.0503
118	119	en	amh	challenge_SSA-MTE	hyp1	News	NaN	7.8176
119	120	en	amh	challenge_SSA-MTE	hyp1	News	NaN	15.3079
120	121	en	amh	challenge_SSA-MTE	hyp1	News	NaN	7.3471
121	122	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.3962
122	123	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.1124
123	124	en	amh	challenge_SSA-MTE	hyp1	News	NaN	100.0000
124	125	en	amh	challenge_SSA-MTE	hyp1	News	NaN	7.8098
125	126	en	amh	challenge_SSA-MTE	hyp1	News	NaN	8.1167
126	127	en	amh	challenge_SSA-MTE	hyp1	News	NaN	9.6524
127	128	en	amh	challenge_SSA-MTE	hyp1	News	NaN	21.3644
128	129	en	amh	challenge_SSA-MTE	hyp1	News	NaN	42.7287
129	130	en	amh	challenge_SSA-MTE	hyp1	News	NaN	100.0000
130	131	en	amh	challenge_SSA-MTE	hyp1	News	NaN	68.0375
131	132	en	amh	challenge_SSA-MTE	hyp1	News	NaN	22.0896
