doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8119
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8213
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6932
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.7894
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8822
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8642
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8489
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9213
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8480
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8770
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9585
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.7250
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9253
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9563
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9287
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8870
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8983
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8900
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8927
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8821
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9429
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8797
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8325
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.7884
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9016
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9029
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9264
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9493
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9328
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9566
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9514
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9602
32	33	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9692
33	34	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9674
34	35	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9707
35	36	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9723
36	37	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9593
37	38	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9092
38	39	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9497
39	40	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9066
40	41	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6660
41	42	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.7560
