doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8482
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8185
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6149
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6085
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8459
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8790
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8466
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8989
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6233
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8938
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8769
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6760
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8354
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8831
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8819
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8275
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8938
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8860
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8830
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8880
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8574
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8938
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8624
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8381
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8962
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8933
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8746
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8650
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8739
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8717
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8745
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8990
32	33	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9068
33	34	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8953
34	35	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9061
35	36	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9053
36	37	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9000
37	38	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9012
38	39	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9023
39	40	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8947
40	41	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8124
41	42	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8971
42	43	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8090
43	44	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.7893
44	45	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9088
45	46	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8406
46	47	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9048
47	48	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9067
48	49	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9035
49	50	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.9040
