doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5329086184501648
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5329086184501648
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5329086184501648
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5329086184501648
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5329086184501648
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5329086184501648
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.2739982604980469
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.2739982604980469
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.2739982604980469
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.2739982604980469
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.3827192187309265
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.3827192187309265
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.3827192187309265
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.3827192187309265
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.3827192187309265
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4473736882209778
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4473736882209778
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4473736882209778
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4473736882209778
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4473736882209778
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4473736882209778
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.39533668756484985
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.39533668756484985
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.39533668756484985
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.39533668756484985
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4883479177951813
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4883479177951813
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4883479177951813
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4883479177951813
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4883479177951813
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4883479177951813
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6400272250175476
32	33	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6400272250175476
33	34	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6400272250175476
34	35	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6400272250175476
35	36	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6400272250175476
36	37	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6400272250175476
37	38	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4426667094230652
38	39	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4426667094230652
39	40	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4426667094230652
40	41	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4426667094230652
41	42	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4426667094230652
42	43	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.543634295463562
43	44	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5436343550682068
44	45	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.543634295463562
45	46	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.543634295463562
46	47	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4447666108608246
47	48	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4447666108608246
48	49	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4447666108608246
49	50	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4447666108608246
50	51	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4447666108608246
51	52	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4447666108608246
52	53	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.33178257942199707
53	54	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.33178257942199707
54	55	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.33178257942199707
