doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.923378
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.877358
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.881694
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.872387
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.922304
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.8768
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.890221
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.900542
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.863783
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.883868
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.953153
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.891791
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.936242
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.958918
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.942258
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.896033
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.893738
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.905311
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.873192
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.89819
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.926004
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.890277
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.902274
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.872985
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.898468
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.88341
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.906171
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.930394
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.913457
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.935677
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.939461
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.95004
32	33	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.976096
33	34	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.958857
34	35	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.958111
35	36	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.956976
36	37	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.969795
37	38	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.920282
38	39	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.942549
39	40	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.914504
40	41	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.92536
41	42	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.915596
42	43	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.923581
43	44	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.902739
44	45	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.926493
45	46	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.928134
46	47	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.979476
47	48	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.974761
48	49	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.946721
49	50	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.982788
50	51	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.978789
51	52	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.985201
52	53	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.925681
53	54	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.946921
