doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	29.4423
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	8.7615
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	7.7237
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	10.3195
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	29.7124
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	9.5882
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	14.9342
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	18.2991
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	8.6163
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	13.6934
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	45.6890
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	9.3100
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	33.6552
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	46.4439
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	44.1733
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	32.7667
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	29.2131
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	37.1566
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	16.0323
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	22.3840
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	38.4018
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	28.6746
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	21.8705
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	15.9059
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	31.3099
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	17.1697
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	25.0188
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	47.2977
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	34.0600
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	50.0128
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	49.3183
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	43.8470
32	33	en	amh	challenge_SSA-MTE	hyp1	News	NaN	52.7796
33	34	en	amh	challenge_SSA-MTE	hyp1	News	NaN	68.6658
34	35	en	amh	challenge_SSA-MTE	hyp1	News	NaN	55.3876
35	36	en	amh	challenge_SSA-MTE	hyp1	News	NaN	56.6304
36	37	en	amh	challenge_SSA-MTE	hyp1	News	NaN	57.3366
37	38	en	amh	challenge_SSA-MTE	hyp1	News	NaN	12.2322
38	39	en	amh	challenge_SSA-MTE	hyp1	News	NaN	47.4455
39	40	en	amh	challenge_SSA-MTE	hyp1	News	NaN	39.0214
40	41	en	amh	challenge_SSA-MTE	hyp1	News	NaN	39.2460
41	42	en	amh	challenge_SSA-MTE	hyp1	News	NaN	47.3623
42	43	en	amh	challenge_SSA-MTE	hyp1	News	NaN	34.3078
43	44	en	amh	challenge_SSA-MTE	hyp1	News	NaN	24.1598
44	45	en	amh	challenge_SSA-MTE	hyp1	News	NaN	57.8194
45	46	en	amh	challenge_SSA-MTE	hyp1	News	NaN	40.7414
46	47	en	amh	challenge_SSA-MTE	hyp1	News	NaN	82.3953
47	48	en	amh	challenge_SSA-MTE	hyp1	News	NaN	60.5299
48	49	en	amh	challenge_SSA-MTE	hyp1	News	NaN	43.7433
49	50	en	amh	challenge_SSA-MTE	hyp1	News	NaN	53.0448
50	51	en	amh	challenge_SSA-MTE	hyp1	News	NaN	64.1731
51	52	en	amh	challenge_SSA-MTE	hyp1	News	NaN	60.5299
52	53	en	amh	challenge_SSA-MTE	hyp1	News	NaN	28.9812
53	54	en	amh	challenge_SSA-MTE	hyp1	News	NaN	60.3012
54	55	en	amh	challenge_SSA-MTE	hyp1	News	NaN	34.4294
55	56	en	amh	challenge_SSA-MTE	hyp1	News	NaN	23.0234
56	57	en	amh	challenge_SSA-MTE	hyp1	News	NaN	34.4766
57	58	en	amh	challenge_SSA-MTE	hyp1	News	NaN	34.0494
58	59	en	amh	challenge_SSA-MTE	hyp1	News	NaN	43.0672
59	60	en	amh	challenge_SSA-MTE	hyp1	News	NaN	43.9337
60	61	en	amh	challenge_SSA-MTE	hyp1	News	NaN	47.1322
61	62	en	amh	challenge_SSA-MTE	hyp1	News	NaN	38.3227
62	63	en	amh	challenge_SSA-MTE	hyp1	News	NaN	35.3815
63	64	en	amh	challenge_SSA-MTE	hyp1	News	NaN	36.9381
64	65	en	amh	challenge_SSA-MTE	hyp1	News	NaN	35.3607
