doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.3103165030479431
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.38498640060424805
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.04203613102436066
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6052134037017822
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4255904257297516
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5402466058731079
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.2246410846710205
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.35842636227607727
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.45823296904563904
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.15294545888900757
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6008526682853699
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5285785794258118
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5192846059799194
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6174830198287964
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4833000898361206
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6821734309196472
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6127514839172363
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5375596284866333
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.532341480255127
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5473686456680298
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5321930646896362
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5981264710426331
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.3902827501296997
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.3709530830383301
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5683960318565369
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6741003394126892
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6230126023292542
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6443880796432495
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6200382113456726
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6336296200752258
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6083343625068665
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5378456115722656
32	33	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6091117262840271
33	34	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.48336508870124817
34	35	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5804638266563416
35	36	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.640383780002594
36	37	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.550028383731842
37	38	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.49602994322776794
38	39	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6409239172935486
39	40	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.37233856320381165
40	41	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.3791218400001526
41	42	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4006652534008026
42	43	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.2981242835521698
43	44	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.3820843994617462
44	45	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5149468779563904
45	46	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4951956570148468
46	47	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6222707629203796
