doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6126439571380615
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6126439571380615
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6126438975334167
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6126439571380615
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6126439571380615
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6126439571380615
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5667766332626343
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5667766332626343
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5667766332626343
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.5667766332626343
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.448807954788208
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.448807954788208
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.448807954788208
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.448807954788208
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.448807954788208
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6630652546882629
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6630652546882629
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6630650758743286
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6630650758743286
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6630650758743286
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.6630650758743286
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4457683563232422
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4457683563232422
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4457683563232422
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.4457683563232422
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.7399740815162659
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.7399740815162659
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.7399740815162659
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.7399740815162659
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.7399740815162659
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.7399740815162659
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.7341633439064026
32	33	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.7341633439064026
33	34	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.7341633439064026
34	35	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.734163224697113
35	36	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.734163224697113
36	37	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.734163224697113
37	38	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.745352029800415
38	39	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.745352029800415
39	40	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.745352029800415
40	41	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.745352029800415
