doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	9.6726
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	3.6735
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	3.3865
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	3.9833
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	14.3231
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.0272
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	6.0843
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	6.5334
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	3.4673
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	6.1481
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	34.5789
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	2.2325
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	14.7782
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	34.9016
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	28.5859
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	18.3961
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	12.4698
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	20.4264
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	3.7551
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	7.2878
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	26.1263
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	14.5269
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	8.5544
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	6.7543
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	14.5952
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	11.8964
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	12.1243
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	35.5567
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	18.6103
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	35.8135
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	46.0533
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	43.3437
32	33	en	amh	challenge_SSA-MTE	hyp1	News	NaN	61.4788
33	34	en	amh	challenge_SSA-MTE	hyp1	News	NaN	59.1815
34	35	en	amh	challenge_SSA-MTE	hyp1	News	NaN	51.8434
35	36	en	amh	challenge_SSA-MTE	hyp1	News	NaN	63.0191
36	37	en	amh	challenge_SSA-MTE	hyp1	News	NaN	60.2608
37	38	en	amh	challenge_SSA-MTE	hyp1	News	NaN	8.0978
38	39	en	amh	challenge_SSA-MTE	hyp1	News	NaN	32.5948
39	40	en	amh	challenge_SSA-MTE	hyp1	News	NaN	20.1054
40	41	en	amh	challenge_SSA-MTE	hyp1	News	NaN	24.7914
41	42	en	amh	challenge_SSA-MTE	hyp1	News	NaN	23.2879
42	43	en	amh	challenge_SSA-MTE	hyp1	News	NaN	15.4768
43	44	en	amh	challenge_SSA-MTE	hyp1	News	NaN	11.7226
44	45	en	amh	challenge_SSA-MTE	hyp1	News	NaN	46.1398
45	46	en	amh	challenge_SSA-MTE	hyp1	News	NaN	25.1292
46	47	en	amh	challenge_SSA-MTE	hyp1	News	NaN	63.4361
47	48	en	amh	challenge_SSA-MTE	hyp1	News	NaN	27.1054
48	49	en	amh	challenge_SSA-MTE	hyp1	News	NaN	15.0200
49	50	en	amh	challenge_SSA-MTE	hyp1	News	NaN	21.5132
50	51	en	amh	challenge_SSA-MTE	hyp1	News	NaN	40.3932
51	52	en	amh	challenge_SSA-MTE	hyp1	News	NaN	32.2340
52	53	en	amh	challenge_SSA-MTE	hyp1	News	NaN	21.5305
53	54	en	amh	challenge_SSA-MTE	hyp1	News	NaN	42.6499
54	55	en	amh	challenge_SSA-MTE	hyp1	News	NaN	14.4640
55	56	en	amh	challenge_SSA-MTE	hyp1	News	NaN	19.4491
56	57	en	amh	challenge_SSA-MTE	hyp1	News	NaN	13.5832
57	58	en	amh	challenge_SSA-MTE	hyp1	News	NaN	12.8703
58	59	en	amh	challenge_SSA-MTE	hyp1	News	NaN	24.2000
59	60	en	amh	challenge_SSA-MTE	hyp1	News	NaN	27.9811
60	61	en	amh	challenge_SSA-MTE	hyp1	News	NaN	33.9701
61	62	en	amh	challenge_SSA-MTE	hyp1	News	NaN	14.0411
62	63	en	amh	challenge_SSA-MTE	hyp1	News	NaN	13.6337
63	64	en	amh	challenge_SSA-MTE	hyp1	News	NaN	33.7013
64	65	en	amh	challenge_SSA-MTE	hyp1	News	NaN	28.3393
65	66	en	amh	challenge_SSA-MTE	hyp1	News	NaN	2.6490
66	67	en	amh	challenge_SSA-MTE	hyp1	News	NaN	33.8209
67	68	en	amh	challenge_SSA-MTE	hyp1	News	NaN	26.0356
68	69	en	amh	challenge_SSA-MTE	hyp1	News	NaN	16.2981
69	70	en	amh	challenge_SSA-MTE	hyp1	News	NaN	5.3511
70	71	en	amh	challenge_SSA-MTE	hyp1	News	NaN	17.5091
71	72	en	amh	challenge_SSA-MTE	hyp1	News	NaN	9.2776
72	73	en	amh	challenge_SSA-MTE	hyp1	News	NaN	14.4598
73	74	en	amh	challenge_SSA-MTE	hyp1	News	NaN	10.6158
74	75	en	amh	challenge_SSA-MTE	hyp1	News	NaN	48.1323
75	76	en	amh	challenge_SSA-MTE	hyp1	News	NaN	3.4959
76	77	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.5231
77	78	en	amh	challenge_SSA-MTE	hyp1	News	NaN	1.1517
78	79	en	amh	challenge_SSA-MTE	hyp1	News	NaN	20.8047
79	80	en	amh	challenge_SSA-MTE	hyp1	News	NaN	45.2545
80	81	en	amh	challenge_SSA-MTE	hyp1	News	NaN	24.2064
81	82	en	amh	challenge_SSA-MTE	hyp1	News	NaN	34.2955
82	83	en	amh	challenge_SSA-MTE	hyp1	News	NaN	31.6002
83	84	en	amh	challenge_SSA-MTE	hyp1	News	NaN	48.5944
84	85	en	amh	challenge_SSA-MTE	hyp1	News	NaN	33.7889
85	86	en	amh	challenge_SSA-MTE	hyp1	News	NaN	61.4452
86	87	en	amh	challenge_SSA-MTE	hyp1	News	NaN	35.6429
87	88	en	amh	challenge_SSA-MTE	hyp1	News	NaN	4.1499
88	89	en	amh	challenge_SSA-MTE	hyp1	News	NaN	23.6682
89	90	en	amh	challenge_SSA-MTE	hyp1	News	NaN	32.1609
90	91	en	amh	challenge_SSA-MTE	hyp1	News	NaN	8.0545
91	92	en	amh	challenge_SSA-MTE	hyp1	News	NaN	32.9362
92	93	en	amh	challenge_SSA-MTE	hyp1	News	NaN	14.4737
93	94	en	amh	challenge_SSA-MTE	hyp1	News	NaN	32.1411
94	95	en	amh	challenge_SSA-MTE	hyp1	News	NaN	7.6527
95	96	en	amh	challenge_SSA-MTE	hyp1	News	NaN	20.5181
96	97	en	amh	challenge_SSA-MTE	hyp1	News	NaN	0.0000
97	98	en	amh	challenge_SSA-MTE	hyp1	News	NaN	5.7514
98	99	en	amh	challenge_SSA-MTE	hyp1	News	NaN	7.3963
99	100	en	amh	challenge_SSA-MTE	hyp1	News	NaN	18.4080
100	101	en	amh	challenge_SSA-MTE	hyp1	News	NaN	18.3944
101	102	en	amh	challenge_SSA-MTE	hyp1	News	NaN	17.9900
102	103	en	amh	challenge_SSA-MTE	hyp1	News	NaN	18.3568
103	104	en	amh	challenge_SSA-MTE	hyp1	News	NaN	17.0731
104	105	en	amh	challenge_SSA-MTE	hyp1	News	NaN	6.9700
