doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-6.327883243560791
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.6620349884033203
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-8.426639556884766
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-5.580358505249023
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.013068675994873
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.1768932342529297
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.4880528450012207
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.3526420593261719
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-6.016896724700928
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.9629860520362854
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.8281896114349365
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-10.531322479248047
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.2248263359069824
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.8203165531158447
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.143357038497925
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.307044267654419
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.408579111099243
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.188248634338379
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.3059639930725098
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.2570667266845703
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.7659002542495728
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.9094114303588867
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.5059638023376465
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.1509150266647339
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.793312668800354
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.5595507621765137
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-6.157968997955322
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.5366299748420715
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.9516611099243164
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.4692354202270508
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.545421838760376
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.36171603202819824
32	33	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.5712502002716064
33	34	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.5467931032180786
34	35	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.3399258852005005
35	36	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.7381645441055298
36	37	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.35096806287765503
37	38	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.5338943004608154
38	39	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.44583261013031006
