doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	43.17435836791992
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	35.57362365722656
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	26.526676177978516
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	49.01271057128906
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	48.785614013671875
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	34.397369384765625
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	30.749126434326172
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	64.90618133544922
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	67.12702941894531
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	30.02471923828125
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	83.56442260742188
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	82.40048217773438
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	79.74171447753906
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	87.78759765625
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	84.91109466552734
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	56.453651428222656
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	74.75772094726562
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	81.10492706298828
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	71.60592651367188
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	79.70462799072266
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	64.42584991455078
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	87.6651840209961
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	91.76716613769531
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	89.25381469726562
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	86.95893096923828
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	80.63328552246094
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	61.629207611083984
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	69.94178771972656
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	77.26998901367188
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	71.5029067993164
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	75.47407531738281
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	77.4886245727539
32	33	en	amh	challenge_SSA-MTE	hyp1	News	NaN	91.96195983886719
33	34	en	amh	challenge_SSA-MTE	hyp1	News	NaN	80.89362335205078
34	35	en	amh	challenge_SSA-MTE	hyp1	News	NaN	92.6708984375
35	36	en	amh	challenge_SSA-MTE	hyp1	News	NaN	90.34168243408203
36	37	en	amh	challenge_SSA-MTE	hyp1	News	NaN	82.63636779785156
37	38	en	amh	challenge_SSA-MTE	hyp1	News	NaN	66.92230224609375
38	39	en	amh	challenge_SSA-MTE	hyp1	News	NaN	73.03004455566406
39	40	en	amh	challenge_SSA-MTE	hyp1	News	NaN	59.1815185546875
40	41	en	amh	challenge_SSA-MTE	hyp1	News	NaN	41.69391632080078
41	42	en	amh	challenge_SSA-MTE	hyp1	News	NaN	52.877105712890625
42	43	en	amh	challenge_SSA-MTE	hyp1	News	NaN	67.53855895996094
43	44	en	amh	challenge_SSA-MTE	hyp1	News	NaN	33.497013092041016
44	45	en	amh	challenge_SSA-MTE	hyp1	News	NaN	72.89732360839844
45	46	en	amh	challenge_SSA-MTE	hyp1	News	NaN	54.26768112182617
46	47	en	amh	challenge_SSA-MTE	hyp1	News	NaN	84.31537628173828
47	48	en	amh	challenge_SSA-MTE	hyp1	News	NaN	85.95419311523438
48	49	en	amh	challenge_SSA-MTE	hyp1	News	NaN	83.19854736328125
49	50	en	amh	challenge_SSA-MTE	hyp1	News	NaN	86.58450317382812
50	51	en	amh	challenge_SSA-MTE	hyp1	News	NaN	88.04670715332031
51	52	en	amh	challenge_SSA-MTE	hyp1	News	NaN	87.09201049804688
52	53	en	amh	challenge_SSA-MTE	hyp1	News	NaN	69.38345336914062
53	54	en	amh	challenge_SSA-MTE	hyp1	News	NaN	60.72974395751953
54	55	en	amh	challenge_SSA-MTE	hyp1	News	NaN	43.30659866333008
55	56	en	amh	challenge_SSA-MTE	hyp1	News	NaN	69.29365539550781
56	57	en	amh	challenge_SSA-MTE	hyp1	News	NaN	33.27672576904297
57	58	en	amh	challenge_SSA-MTE	hyp1	News	NaN	73.92996978759766
58	59	en	amh	challenge_SSA-MTE	hyp1	News	NaN	44.81454849243164
59	60	en	amh	challenge_SSA-MTE	hyp1	News	NaN	91.20670318603516
60	61	en	amh	challenge_SSA-MTE	hyp1	News	NaN	93.11335754394531
61	62	en	amh	challenge_SSA-MTE	hyp1	News	NaN	77.90011596679688
