doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	73
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	77
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	61
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	65
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	88
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	92
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	82
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	84
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	77
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	91
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	92
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	35
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	77
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	84
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	86
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	88
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	81
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	88
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	91
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	83
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	77
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	78
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	77
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	74
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	92
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	93
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	77
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	100
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	93
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	93
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	100
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	93
