doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News		0.12703862660944207
1	2	en	amh	challenge_SSA-MTE	hyp1	News		0.1459227467811159
2	3	en	amh	challenge_SSA-MTE	hyp1	News		0.039484978540772535
3	4	en	amh	challenge_SSA-MTE	hyp1	News		0.08583690987124463
4	5	en	amh	challenge_SSA-MTE	hyp1	News		0.4051502145922747
5	6	en	amh	challenge_SSA-MTE	hyp1	News		0.303862660944206
6	7	en	amh	challenge_SSA-MTE	hyp1	News		0.2429184549356223
7	8	en	amh	challenge_SSA-MTE	hyp1	News		0.6781115879828327
8	9	en	amh	challenge_SSA-MTE	hyp1	News		0.23862660944206007
9	10	en	amh	challenge_SSA-MTE	hyp1	News		0.3759656652360515
10	11	en	amh	challenge_SSA-MTE	hyp1	News		0.9261802575107296
11	12	en	amh	challenge_SSA-MTE	hyp1	News		0.04721030042918455
12	13	en	amh	challenge_SSA-MTE	hyp1	News		0.7081545064377682
13	14	en	amh	challenge_SSA-MTE	hyp1	News		0.9167381974248927
14	15	en	amh	challenge_SSA-MTE	hyp1	News		0.7424892703862661
15	16	en	amh	challenge_SSA-MTE	hyp1	News		0.4351931330472103
16	17	en	amh	challenge_SSA-MTE	hyp1	News		0.5210300429184549
17	18	en	amh	challenge_SSA-MTE	hyp1	News		0.45665236051502145
18	19	en	amh	challenge_SSA-MTE	hyp1	News		0.47639484978540775
19	20	en	amh	challenge_SSA-MTE	hyp1	News		0.4068669527896996
20	21	en	amh	challenge_SSA-MTE	hyp1	News		0.8540772532188842
21	22	en	amh	challenge_SSA-MTE	hyp1	News		0.3905579399141631
22	23	en	amh	challenge_SSA-MTE	hyp1	News		0.18283261802575107
23	24	en	amh	challenge_SSA-MTE	hyp1	News		0.08497854077253218
24	25	en	amh	challenge_SSA-MTE	hyp1	News		0.5459227467811159
25	26	en	amh	challenge_SSA-MTE	hyp1	News		0.5553648068669528
26	27	en	amh	challenge_SSA-MTE	hyp1	News		0.7167381974248928
27	28	en	amh	challenge_SSA-MTE	hyp1	News		0.8763948497854077
28	29	en	amh	challenge_SSA-MTE	hyp1	News		0.7725321888412017
29	30	en	amh	challenge_SSA-MTE	hyp1	News		0.91931330472103
30	31	en	amh	challenge_SSA-MTE	hyp1	News		0.886695278969957
31	32	en	amh	challenge_SSA-MTE	hyp1	News		0.9373390557939915
32	33	en	amh	challenge_SSA-MTE	hyp1	News		0.9725321888412017
33	34	en	amh	challenge_SSA-MTE	hyp1	News		0.9682403433476395
34	35	en	amh	challenge_SSA-MTE	hyp1	News		0.9759656652360515
35	36	en	amh	challenge_SSA-MTE	hyp1	News		0.9785407725321889
36	37	en	amh	challenge_SSA-MTE	hyp1	News		0.9313304721030042
37	38	en	amh	challenge_SSA-MTE	hyp1	News		0.6051502145922747
38	39	en	amh	challenge_SSA-MTE	hyp1	News		0.878969957081545
39	40	en	amh	challenge_SSA-MTE	hyp1	News		0.5896995708154507
40	41	en	amh	challenge_SSA-MTE	hyp1	News		0.027467811158798282
41	42	en	amh	challenge_SSA-MTE	hyp1	News		0.06351931330472103
42	43	en	amh	challenge_SSA-MTE	hyp1	News		0.17339055793991417
43	44	en	amh	challenge_SSA-MTE	hyp1	News		0.40171673819742487
44	45	en	amh	challenge_SSA-MTE	hyp1	News		0.9150214592274678
45	46	en	amh	challenge_SSA-MTE	hyp1	News		0.7193133047210301
46	47	en	amh	challenge_SSA-MTE	hyp1	News		0.9733905579399141
47	48	en	amh	challenge_SSA-MTE	hyp1	News		0.959656652360515
48	49	en	amh	challenge_SSA-MTE	hyp1	News		0.8987124463519314
49	50	en	amh	challenge_SSA-MTE	hyp1	News		0.9484978540772532
50	51	en	amh	challenge_SSA-MTE	hyp1	News		0.9630901287553648
51	52	en	amh	challenge_SSA-MTE	hyp1	News		0.9639484978540772
52	53	en	amh	challenge_SSA-MTE	hyp1	News		0.7605150214592274
53	54	en	amh	challenge_SSA-MTE	hyp1	News		0.784549356223176
54	55	en	amh	challenge_SSA-MTE	hyp1	News		0.4334763948497854
55	56	en	amh	challenge_SSA-MTE	hyp1	News		0.25836909871244634
56	57	en	amh	challenge_SSA-MTE	hyp1	News		0.5836909871244635
57	58	en	amh	challenge_SSA-MTE	hyp1	News		0.6463519313304721
58	59	en	amh	challenge_SSA-MTE	hyp1	News		0.20772532188841203
59	60	en	amh	challenge_SSA-MTE	hyp1	News		0.5819742489270386
60	61	en	amh	challenge_SSA-MTE	hyp1	News		0.7570815450643776
61	62	en	amh	challenge_SSA-MTE	hyp1	News		0.6927038626609442
62	63	en	amh	challenge_SSA-MTE	hyp1	News		0.18197424892703862
63	64	en	amh	challenge_SSA-MTE	hyp1	News		0.7004291845493562
64	65	en	amh	challenge_SSA-MTE	hyp1	News		0.2686695278969957
65	66	en	amh	challenge_SSA-MTE	hyp1	News		0.14763948497854076
66	67	en	amh	challenge_SSA-MTE	hyp1	News		0.8103004291845494
67	68	en	amh	challenge_SSA-MTE	hyp1	News		0.7742489270386266
68	69	en	amh	challenge_SSA-MTE	hyp1	News		0.06866952789699571
69	70	en	amh	challenge_SSA-MTE	hyp1	News		0.06781115879828326
70	71	en	amh	challenge_SSA-MTE	hyp1	News		0.336480686695279
71	72	en	amh	challenge_SSA-MTE	hyp1	News		0.1905579399141631
72	73	en	amh	challenge_SSA-MTE	hyp1	News		0.1630901287553648
73	74	en	amh	challenge_SSA-MTE	hyp1	News		0.448068669527897
74	75	en	amh	challenge_SSA-MTE	hyp1	News		0.648068669527897
75	76	en	amh	challenge_SSA-MTE	hyp1	News		0.0592274678111588
76	77	en	amh	challenge_SSA-MTE	hyp1	News		0.13991416309012875
77	78	en	amh	challenge_SSA-MTE	hyp1	News		0.019742489270386267
78	79	en	amh	challenge_SSA-MTE	hyp1	News		0.39141630901287555
79	80	en	amh	challenge_SSA-MTE	hyp1	News		0.7871244635193133
80	81	en	amh	challenge_SSA-MTE	hyp1	News		0.10643776824034334
81	82	en	amh	challenge_SSA-MTE	hyp1	News		0.4532188841201717
