doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-6.546928405761719
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.2515029907226562
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-7.001813888549805
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-7.529260635375977
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.3200880289077759
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.2192656993865967
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.584627151489258
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.247615337371826
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-12.492807388305664
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.5178959369659424
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.1422680616378784
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-13.498706817626953
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.3445360660552979
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.4472882747650146
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.855660080909729
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.8907361030578613
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.5261716842651367
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.0765403509140015
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.9016748666763306
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.7727164030075073
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.8316850662231445
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.6572302579879761
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.896630883216858
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.963718831539154
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.6734931468963623
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.3286866545677185
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.039780616760254
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.4954434335231781
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.8642266988754272
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.16795793175697327
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.15415093302726746
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.24913087487220764
32	33	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.40991485118865967
33	34	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.4900621175765991
34	35	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.43972957134246826
35	36	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.4832776188850403
36	37	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.27485647797584534
37	38	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.890021800994873
38	39	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.30453938245773315
39	40	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.8181986808776855
40	41	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-4.087680339813232
41	42	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.8168925046920776
42	43	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.9264898896217346
43	44	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-4.792599678039551
44	45	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.33046770095825195
45	46	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.3349458575248718
46	47	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.23842644691467285
47	48	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.41993075609207153
48	49	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.2710655629634857
49	50	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.38944560289382935
50	51	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.2664819657802582
51	52	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.30683982372283936
52	53	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.187890648841858
53	54	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.1737587451934814
54	55	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.2645424604415894
55	56	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.2961020469665527
56	57	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.0672369003295898
57	58	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.5250593423843384
58	59	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-4.062251091003418
59	60	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.5255210399627686
60	61	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.0010621547698975
61	62	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.0663143396377563
62	63	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.2827239036560059
63	64	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.5839914083480835
64	65	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.8380329608917236
65	66	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.8768858909606934
66	67	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.25559669733047485
67	68	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.576490581035614
68	69	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.1100521087646484
69	70	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-17.465805053710938
70	71	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.0021352767944336
71	72	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.1554059982299805
72	73	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.1969807147979736
73	74	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.2858413457870483
74	75	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.4208332300186157
75	76	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-5.207557678222656
76	77	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.2571125030517578
77	78	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-25.31966781616211
78	79	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.0056440830230713
79	80	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-6.839056491851807
80	81	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.9764153957366943
81	82	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.385281562805176
82	83	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.4026713371276855
83	84	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-4.759878158569336
84	85	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.7142553925514221
85	86	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.9670695662498474
86	87	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.151973247528076
87	88	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-6.213761806488037
88	89	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.23051714897155762
89	90	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.6011672019958496
90	91	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.0274730920791626
91	92	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.0497311353683472
92	93	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.14159485697746277
93	94	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.2720999717712402
94	95	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.277759552001953
95	96	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-7.6353864669799805
96	97	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-28.163352966308594
97	98	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-4.136641502380371
98	99	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.2495465278625488
99	100	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.552731990814209
100	101	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.8427160978317261
101	102	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.5266096591949463
102	103	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.4722417891025543
103	104	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.5058833956718445
104	105	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-4.361871242523193
105	106	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.855185031890869
106	107	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.6355218887329102
107	108	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.682931900024414
108	109	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.255127429962158
109	110	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.911746621131897
110	111	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-11.220831871032715
111	112	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-8.979503631591797
112	113	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-5.57435417175293
113	114	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.6303184032440186
114	115	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-15.112740516662598
115	116	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-9.465822219848633
116	117	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-5.302704334259033
117	118	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-4.035499572753906
118	119	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.2644801139831543
119	120	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-5.101622104644775
120	121	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.9595835208892822
121	122	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-7.966938018798828
122	123	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.2006261348724365
123	124	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.5900769829750061
124	125	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.3643895387649536
125	126	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.3829805850982666
126	127	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.43597233295440674
127	128	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.574312686920166
128	129	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.6089110374450684
129	130	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.2537693977355957
130	131	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.09552209079265594
131	132	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.2400529533624649
132	133	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.47289204597473145
133	134	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.10307192802429199
134	135	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.3120017647743225
135	136	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.7467948198318481
136	137	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.28392741084098816
137	138	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.3347870707511902
138	139	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.6332783699035645
139	140	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.216843605041504
140	141	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.6875660419464111
141	142	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.0678173303604126
142	143	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.8697364330291748
143	144	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.5798912048339844
144	145	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-7.524030685424805
145	146	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.8843491077423096
146	147	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.1346702575683594
147	148	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.7839819192886353
148	149	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.8763070106506348
149	150	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.1157114505767822
150	151	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.3857295513153076
151	152	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-4.780908584594727
152	153	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.9439331889152527
153	154	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.6727144718170166
154	155	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.4164609909057617
155	156	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-11.005712509155273
156	157	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.968172311782837
157	158	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.802858829498291
158	159	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-6.081061363220215
159	160	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-6.256525993347168
160	161	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.6443853378295898
161	162	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.2748643159866333
162	163	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.0806283950805664
163	164	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.4118149280548096
164	165	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-5.874885559082031
165	166	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-8.44829273223877
166	167	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.9823997020721436
167	168	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.2058157920837402
168	169	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.4852182865142822
169	170	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.3390255868434906
170	171	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-4.834342956542969
171	172	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.356614589691162
172	173	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.19842201471328735
173	174	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.4126293957233429
174	175	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.389754056930542
175	176	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-4.177342891693115
176	177	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-9.285489082336426
177	178	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-28.030658721923828
178	179	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.533205509185791
179	180	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.647143840789795
