doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-7.066169738769531
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.8276851177215576
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-8.463735580444336
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-5.650733470916748
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.5492260456085205
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.9993720054626465
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.166318416595459
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.0363014936447144
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-11.25240707397461
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.8629672527313232
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.0827422142028809
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-10.031691551208496
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.8604090213775635
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.9831371307373047
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.4293102025985718
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.0824878215789795
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.140036106109619
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.4765040874481201
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.1248321533203125
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-3.5511159896850586
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.891430377960205
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.6152684688568115
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.7756125926971436
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.9642758369445801
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.596096396446228
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.5231449604034424
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-5.125784397125244
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.7064628601074219
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.287621021270752
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.4237470030784607
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.34984642267227173
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.3705621361732483
32	33	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.3657340407371521
33	34	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.40352755784988403
34	35	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.45570969581604004
35	36	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.39575523138046265
36	37	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.2642250657081604
37	38	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.472289562225342
38	39	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.009406328201294
39	40	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.4363036155700684
40	41	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-4.944032669067383
41	42	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-2.0252840518951416
42	43	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.0908046960830688
43	44	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-6.169350624084473
44	45	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.6941094398498535
45	46	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.854862630367279
46	47	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.018662136048078537
47	48	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.11789772659540176
48	49	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.08980277180671692
49	50	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.1893211007118225
50	51	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.09145548939704895
51	52	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.09460221230983734
52	53	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.9910216331481934
53	54	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.8182042241096497
54	55	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.606064796447754
55	56	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.6606156826019287
56	57	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.2681699991226196
57	58	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.8096034526824951
58	59	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-7.500599384307861
59	60	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.8205854892730713
60	61	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.5113229751586914
61	62	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-1.3451188802719116
62	63	en	amh	challenge_SSA-MTE	hyp1	News	NaN	-0.7250335216522217
