doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	87.14643096923828
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	77.5276107788086
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	72.29401397705078
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	88.18892669677734
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	78.60050964355469
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	89.02931213378906
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	61.111759185791016
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	86.94132232666016
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	89.1393051147461
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	60.48747634887695
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	93.34601593017578
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	88.300048828125
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	89.92051696777344
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	95.02069091796875
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	92.83617401123047
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	85.18523406982422
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	90.07135772705078
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	89.0346908569336
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	91.07276916503906
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	90.35022735595703
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	88.08907318115234
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	94.84773254394531
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	93.68573760986328
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	95.51447296142578
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	95.08258819580078
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	92.6930923461914
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	89.6376724243164
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	90.31092071533203
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	91.73688507080078
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	90.5388412475586
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	91.33577728271484
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	91.0693130493164
32	33	en	amh	challenge_SSA-MTE	hyp1	News	NaN	94.4359130859375
33	34	en	amh	challenge_SSA-MTE	hyp1	News	NaN	90.80593872070312
34	35	en	amh	challenge_SSA-MTE	hyp1	News	NaN	91.6697006225586
35	36	en	amh	challenge_SSA-MTE	hyp1	News	NaN	91.33261108398438
36	37	en	amh	challenge_SSA-MTE	hyp1	News	NaN	93.51412200927734
37	38	en	amh	challenge_SSA-MTE	hyp1	News	NaN	92.280517578125
38	39	en	amh	challenge_SSA-MTE	hyp1	News	NaN	94.57910919189453
39	40	en	amh	challenge_SSA-MTE	hyp1	News	NaN	89.26422119140625
40	41	en	amh	challenge_SSA-MTE	hyp1	News	NaN	76.53435516357422
41	42	en	amh	challenge_SSA-MTE	hyp1	News	NaN	88.44985961914062
42	43	en	amh	challenge_SSA-MTE	hyp1	News	NaN	86.83710479736328
43	44	en	amh	challenge_SSA-MTE	hyp1	News	NaN	76.60882568359375
44	45	en	amh	challenge_SSA-MTE	hyp1	News	NaN	86.04057312011719
45	46	en	amh	challenge_SSA-MTE	hyp1	News	NaN	86.0502700805664
46	47	en	amh	challenge_SSA-MTE	hyp1	News	NaN	94.20825958251953
47	48	en	amh	challenge_SSA-MTE	hyp1	News	NaN	94.40851593017578
48	49	en	amh	challenge_SSA-MTE	hyp1	News	NaN	92.71379852294922
49	50	en	amh	challenge_SSA-MTE	hyp1	News	NaN	94.64447784423828
50	51	en	amh	challenge_SSA-MTE	hyp1	News	NaN	94.87689971923828
51	52	en	amh	challenge_SSA-MTE	hyp1	News	NaN	94.96980285644531
52	53	en	amh	challenge_SSA-MTE	hyp1	News	NaN	80.42439270019531
53	54	en	amh	challenge_SSA-MTE	hyp1	News	NaN	86.59933471679688
54	55	en	amh	challenge_SSA-MTE	hyp1	News	NaN	78.5365982055664
55	56	en	amh	challenge_SSA-MTE	hyp1	News	NaN	85.05352020263672
56	57	en	amh	challenge_SSA-MTE	hyp1	News	NaN	86.42310333251953
57	58	en	amh	challenge_SSA-MTE	hyp1	News	NaN	89.67330169677734
58	59	en	amh	challenge_SSA-MTE	hyp1	News	NaN	80.2009048461914
59	60	en	amh	challenge_SSA-MTE	hyp1	News	NaN	95.55530548095703
60	61	en	amh	challenge_SSA-MTE	hyp1	News	NaN	94.97405242919922
61	62	en	amh	challenge_SSA-MTE	hyp1	News	NaN	90.43498992919922
62	63	en	amh	challenge_SSA-MTE	hyp1	News	NaN	88.55863189697266
63	64	en	amh	challenge_SSA-MTE	hyp1	News	NaN	89.39664459228516
64	65	en	amh	challenge_SSA-MTE	hyp1	News	NaN	87.48361206054688
65	66	en	amh	challenge_SSA-MTE	hyp1	News	NaN	59.334808349609375
