doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News	NaN	96.41560363769531
1	2	en	amh	challenge_SSA-MTE	hyp1	News	NaN	93.29010772705078
2	3	en	amh	challenge_SSA-MTE	hyp1	News	NaN	92.10443878173828
3	4	en	amh	challenge_SSA-MTE	hyp1	News	NaN	96.8681411743164
4	5	en	amh	challenge_SSA-MTE	hyp1	News	NaN	95.17350769042969
5	6	en	amh	challenge_SSA-MTE	hyp1	News	NaN	97.21315002441406
6	7	en	amh	challenge_SSA-MTE	hyp1	News	NaN	95.09519958496094
7	8	en	amh	challenge_SSA-MTE	hyp1	News	NaN	97.36398315429688
8	9	en	amh	challenge_SSA-MTE	hyp1	News	NaN	95.66438293457031
9	10	en	amh	challenge_SSA-MTE	hyp1	News	NaN	94.83051300048828
10	11	en	amh	challenge_SSA-MTE	hyp1	News	NaN	96.98489379882812
11	12	en	amh	challenge_SSA-MTE	hyp1	News	NaN	90.19880676269531
12	13	en	amh	challenge_SSA-MTE	hyp1	News	NaN	95.85094451904297
13	14	en	amh	challenge_SSA-MTE	hyp1	News	NaN	97.32308959960938
14	15	en	amh	challenge_SSA-MTE	hyp1	News	NaN	96.9742660522461
15	16	en	amh	challenge_SSA-MTE	hyp1	News	NaN	93.3132553100586
16	17	en	amh	challenge_SSA-MTE	hyp1	News	NaN	95.5420913696289
17	18	en	amh	challenge_SSA-MTE	hyp1	News	NaN	95.4499282836914
18	19	en	amh	challenge_SSA-MTE	hyp1	News	NaN	96.2635726928711
19	20	en	amh	challenge_SSA-MTE	hyp1	News	NaN	95.15156555175781
20	21	en	amh	challenge_SSA-MTE	hyp1	News	NaN	96.72315979003906
21	22	en	amh	challenge_SSA-MTE	hyp1	News	NaN	95.42267608642578
22	23	en	amh	challenge_SSA-MTE	hyp1	News	NaN	96.38695526123047
23	24	en	amh	challenge_SSA-MTE	hyp1	News	NaN	95.79840850830078
24	25	en	amh	challenge_SSA-MTE	hyp1	News	NaN	96.08025360107422
25	26	en	amh	challenge_SSA-MTE	hyp1	News	NaN	95.73673248291016
26	27	en	amh	challenge_SSA-MTE	hyp1	News	NaN	93.38179016113281
27	28	en	amh	challenge_SSA-MTE	hyp1	News	NaN	96.27107238769531
28	29	en	amh	challenge_SSA-MTE	hyp1	News	NaN	96.40765380859375
29	30	en	amh	challenge_SSA-MTE	hyp1	News	NaN	97.02049255371094
30	31	en	amh	challenge_SSA-MTE	hyp1	News	NaN	95.17564392089844
31	32	en	amh	challenge_SSA-MTE	hyp1	News	NaN	96.23226165771484
32	33	en	amh	challenge_SSA-MTE	hyp1	News	NaN	96.72771453857422
33	34	en	amh	challenge_SSA-MTE	hyp1	News	NaN	96.23078918457031
34	35	en	amh	challenge_SSA-MTE	hyp1	News	NaN	96.27050018310547
35	36	en	amh	challenge_SSA-MTE	hyp1	News	NaN	96.14229583740234
36	37	en	amh	challenge_SSA-MTE	hyp1	News	NaN	96.75638580322266
37	38	en	amh	challenge_SSA-MTE	hyp1	News	NaN	92.5947494506836
38	39	en	amh	challenge_SSA-MTE	hyp1	News	NaN	93.51834869384766
39	40	en	amh	challenge_SSA-MTE	hyp1	News	NaN	88.83135223388672
40	41	en	amh	challenge_SSA-MTE	hyp1	News	NaN	75.55095672607422
41	42	en	amh	challenge_SSA-MTE	hyp1	News	NaN	85.7149429321289
42	43	en	amh	challenge_SSA-MTE	hyp1	News	NaN	94.7923355102539
