doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
0	1	en	amh	challenge_SSA-MTE	hyp1	News		0.8119638562202454
1	2	en	amh	challenge_SSA-MTE	hyp1	News		0.8211154341697693
2	3	en	amh	challenge_SSA-MTE	hyp1	News		0.6932633519172668
3	4	en	amh	challenge_SSA-MTE	hyp1	News		0.7894905209541321
4	5	en	amh	challenge_SSA-MTE	hyp1	News		0.8822723627090454
5	6	en	amh	challenge_SSA-MTE	hyp1	News		0.8639525175094604
6	7	en	amh	challenge_SSA-MTE	hyp1	News		0.8490244150161743
7	8	en	amh	challenge_SSA-MTE	hyp1	News		0.9213354587554932
8	9	en	amh	challenge_SSA-MTE	hyp1	News		0.8480077385902405
9	10	en	amh	challenge_SSA-MTE	hyp1	News		0.8769809603691101
10	11	en	amh	challenge_SSA-MTE	hyp1	News		0.9584590792655945
11	12	en	amh	challenge_SSA-MTE	hyp1	News		0.7225905656814575
12	13	en	amh	challenge_SSA-MTE	hyp1	News		0.9252186417579651
13	14	en	amh	challenge_SSA-MTE	hyp1	News		0.9562070965766907
14	15	en	amh	challenge_SSA-MTE	hyp1	News		0.9285895228385925
15	16	en	amh	challenge_SSA-MTE	hyp1	News		0.8871045708656311
16	17	en	amh	challenge_SSA-MTE	hyp1	News		0.8984141945838928
17	18	en	amh	challenge_SSA-MTE	hyp1	News		0.8904191851615906
18	19	en	amh	challenge_SSA-MTE	hyp1	News		0.892956554889679
19	20	en	amh	challenge_SSA-MTE	hyp1	News		0.8826416730880737
20	21	en	amh	challenge_SSA-MTE	hyp1	News		0.9429107904434204
21	22	en	amh	challenge_SSA-MTE	hyp1	News		0.8797079920768738
22	23	en	amh	challenge_SSA-MTE	hyp1	News		0.832679808139801
23	24	en	amh	challenge_SSA-MTE	hyp1	News		0.7885780334472656
24	25	en	amh	challenge_SSA-MTE	hyp1	News		0.9015651941299438
25	26	en	amh	challenge_SSA-MTE	hyp1	News		0.9028751254081726
26	27	en	amh	challenge_SSA-MTE	hyp1	News		0.9264222383499146
27	28	en	amh	challenge_SSA-MTE	hyp1	News		0.9493207931518555
28	29	en	amh	challenge_SSA-MTE	hyp1	News		0.9327813982963562
29	30	en	amh	challenge_SSA-MTE	hyp1	News		0.9565823674201965
30	31	en	amh	challenge_SSA-MTE	hyp1	News		0.9514378309249878
31	32	en	amh	challenge_SSA-MTE	hyp1	News		0.9602627158164978
32	33	en	amh	challenge_SSA-MTE	hyp1	News		0.9691253304481506
33	34	en	amh	challenge_SSA-MTE	hyp1	News		0.9674054980278015
34	35	en	amh	challenge_SSA-MTE	hyp1	News		0.9706587791442871
35	36	en	amh	challenge_SSA-MTE	hyp1	News		0.9722927212715149
36	37	en	amh	challenge_SSA-MTE	hyp1	News		0.9593216776847839
37	38	en	amh	challenge_SSA-MTE	hyp1	News		0.9092063903808594
38	39	en	amh	challenge_SSA-MTE	hyp1	News		0.9497112035751343
39	40	en	amh	challenge_SSA-MTE	hyp1	News		0.9067614674568176
40	41	en	amh	challenge_SSA-MTE	hyp1	News		0.6658795475959778
41	42	en	amh	challenge_SSA-MTE	hyp1	News		0.7555161118507385
42	43	en	amh	challenge_SSA-MTE	hyp1	News		0.8306979537010193
43	44	en	amh	challenge_SSA-MTE	hyp1	News		0.8816072344779968
44	45	en	amh	challenge_SSA-MTE	hyp1	News		0.9561848044395447
45	46	en	amh	challenge_SSA-MTE	hyp1	News		0.9265928864479065
46	47	en	amh	challenge_SSA-MTE	hyp1	News		0.9693012833595276
47	48	en	amh	challenge_SSA-MTE	hyp1	News		0.9648866057395935
48	49	en	amh	challenge_SSA-MTE	hyp1	News		0.9537280201911926
49	50	en	amh	challenge_SSA-MTE	hyp1	News		0.9621848464012146
50	51	en	amh	challenge_SSA-MTE	hyp1	News		0.9662052989006042
51	52	en	amh	challenge_SSA-MTE	hyp1	News		0.9663271307945251
52	53	en	amh	challenge_SSA-MTE	hyp1	News		0.9316074848175049
53	54	en	amh	challenge_SSA-MTE	hyp1	News		0.9349340796470642
54	55	en	amh	challenge_SSA-MTE	hyp1	News		0.8870801329612732
55	56	en	amh	challenge_SSA-MTE	hyp1	News		0.8530442118644714
56	57	en	amh	challenge_SSA-MTE	hyp1	News		0.9065367579460144
57	58	en	amh	challenge_SSA-MTE	hyp1	News		0.9164772629737854
58	59	en	amh	challenge_SSA-MTE	hyp1	News		0.8396362662315369
59	60	en	amh	challenge_SSA-MTE	hyp1	News		0.9062302112579346
60	61	en	amh	challenge_SSA-MTE	hyp1	News		0.931089460849762
61	62	en	amh	challenge_SSA-MTE	hyp1	News		0.9238370060920715
62	63	en	amh	challenge_SSA-MTE	hyp1	News		0.8325805068016052
63	64	en	amh	challenge_SSA-MTE	hyp1	News		0.924335777759552
64	65	en	amh	challenge_SSA-MTE	hyp1	News		0.8548559546470642
65	66	en	amh	challenge_SSA-MTE	hyp1	News		0.822393000125885
66	67	en	amh	challenge_SSA-MTE	hyp1	News		0.9374539256095886
67	68	en	amh	challenge_SSA-MTE	hyp1	News		0.9331660270690918
68	69	en	amh	challenge_SSA-MTE	hyp1	News		0.7672027945518494
69	70	en	amh	challenge_SSA-MTE	hyp1	News		0.7639968395233154
70	71	en	amh	challenge_SSA-MTE	hyp1	News		0.8699999451637268
71	72	en	amh	challenge_SSA-MTE	hyp1	News		0.8342288136482239
