doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
en-ja_JP_#_literary_#_rink_rats_chapter1	1	en	ja	challenge_condrift	hyp-1	literary	NaN	90.66770935058594
en-ja_JP_#_literary_#_rink_rats_chapter1	1	en	ja	challenge_condrift	hyp-2	literary	NaN	90.71703338623047
en-ja_JP_#_literary_#_rink_rats_chapter1	1	en	ja	challenge_condrift	hyp-3	literary	NaN	90.6509017944336
en-ja_JP_#_literary_#_rink_rats_chapter1	1	en	ja	challenge_condrift	hyp-4	literary	NaN	89.58143615722656
en-ja_JP_#_literary_#_rink_rats_chapter1	2	en	ja	challenge_condrift	hyp-1	literary	NaN	85.00901794433594
en-ja_JP_#_literary_#_rink_rats_chapter1	2	en	ja	challenge_condrift	hyp-2	literary	NaN	85.0674057006836
en-ja_JP_#_literary_#_rink_rats_chapter1	2	en	ja	challenge_condrift	hyp-3	literary	NaN	86.23479461669922
en-ja_JP_#_literary_#_rink_rats_chapter1	2	en	ja	challenge_condrift	hyp-4	literary	NaN	87.57316589355469
en-ja_JP_#_literary_#_rink_rats_chapter1	3	en	ja	challenge_condrift	hyp-1	literary	NaN	84.03314208984375
en-ja_JP_#_literary_#_rink_rats_chapter1	3	en	ja	challenge_condrift	hyp-2	literary	NaN	88.33040618896484
en-ja_JP_#_literary_#_rink_rats_chapter1	3	en	ja	challenge_condrift	hyp-3	literary	NaN	79.87162017822266
en-ja_JP_#_literary_#_rink_rats_chapter1	3	en	ja	challenge_condrift	hyp-4	literary	NaN	61.99647903442383
en-ja_JP_#_literary_#_rink_rats_chapter1	4	en	ja	challenge_condrift	hyp-1	literary	NaN	89.73432922363281
en-ja_JP_#_literary_#_rink_rats_chapter1	4	en	ja	challenge_condrift	hyp-2	literary	NaN	88.5438003540039
en-ja_JP_#_literary_#_rink_rats_chapter1	4	en	ja	challenge_condrift	hyp-3	literary	NaN	90.02508544921875
en-ja_JP_#_literary_#_rink_rats_chapter1	4	en	ja	challenge_condrift	hyp-4	literary	NaN	90.49075317382812
en-ja_JP_#_literary_#_rink_rats_chapter1	5	en	ja	challenge_condrift	hyp-1	literary	NaN	88.87080383300781
en-ja_JP_#_literary_#_rink_rats_chapter1	5	en	ja	challenge_condrift	hyp-2	literary	NaN	89.722412109375
en-ja_JP_#_literary_#_rink_rats_chapter1	5	en	ja	challenge_condrift	hyp-3	literary	NaN	88.24140167236328
en-ja_JP_#_literary_#_rink_rats_chapter1	5	en	ja	challenge_condrift	hyp-4	literary	NaN	89.08326721191406
en-ja_JP_#_literary_#_rink_rats_chapter1	6	en	ja	challenge_condrift	hyp-1	literary	NaN	89.29789733886719
en-ja_JP_#_literary_#_rink_rats_chapter1	6	en	ja	challenge_condrift	hyp-2	literary	NaN	87.68156433105469
en-ja_JP_#_literary_#_rink_rats_chapter1	6	en	ja	challenge_condrift	hyp-3	literary	NaN	87.82357788085938
en-ja_JP_#_literary_#_rink_rats_chapter1	6	en	ja	challenge_condrift	hyp-4	literary	NaN	89.88218688964844
en-ja_JP_#_literary_#_rink_rats_chapter1	7	en	ja	challenge_condrift	hyp-1	literary	NaN	91.0203628540039
en-ja_JP_#_literary_#_rink_rats_chapter1	7	en	ja	challenge_condrift	hyp-2	literary	NaN	91.11158752441406
en-ja_JP_#_literary_#_rink_rats_chapter1	7	en	ja	challenge_condrift	hyp-3	literary	NaN	91.0203628540039
en-ja_JP_#_literary_#_rink_rats_chapter1	7	en	ja	challenge_condrift	hyp-4	literary	NaN	88.9385757446289
en-ja_JP_#_literary_#_rink_rats_chapter1	8	en	ja	challenge_condrift	hyp-1	literary	NaN	90.60235595703125
en-ja_JP_#_literary_#_rink_rats_chapter1	8	en	ja	challenge_condrift	hyp-2	literary	NaN	91.22770690917969
en-ja_JP_#_literary_#_rink_rats_chapter1	8	en	ja	challenge_condrift	hyp-3	literary	NaN	90.96116638183594
en-ja_JP_#_literary_#_rink_rats_chapter1	8	en	ja	challenge_condrift	hyp-4	literary	NaN	90.62364959716797
en-ja_JP_#_literary_#_rink_rats_chapter1	9	en	ja	challenge_condrift	hyp-1	literary	NaN	91.49285125732422
en-ja_JP_#_literary_#_rink_rats_chapter1	9	en	ja	challenge_condrift	hyp-2	literary	NaN	90.4844970703125
en-ja_JP_#_literary_#_rink_rats_chapter1	9	en	ja	challenge_condrift	hyp-3	literary	NaN	87.58113861083984
en-ja_JP_#_literary_#_rink_rats_chapter1	9	en	ja	challenge_condrift	hyp-4	literary	NaN	90.4844970703125
en-ja_JP_#_literary_#_rink_rats_chapter1	10	en	ja	challenge_condrift	hyp-1	literary	NaN	90.281005859375
en-ja_JP_#_literary_#_rink_rats_chapter1	10	en	ja	challenge_condrift	hyp-2	literary	NaN	89.69698333740234
en-ja_JP_#_literary_#_rink_rats_chapter1	10	en	ja	challenge_condrift	hyp-3	literary	NaN	89.201416015625
en-ja_JP_#_literary_#_rink_rats_chapter1	10	en	ja	challenge_condrift	hyp-4	literary	NaN	89.96382141113281
en-ja_JP_#_literary_#_rink_rats_chapter1	11	en	ja	challenge_condrift	hyp-1	literary	NaN	90.60503387451172
en-ja_JP_#_literary_#_rink_rats_chapter1	11	en	ja	challenge_condrift	hyp-2	literary	NaN	89.93515014648438
en-ja_JP_#_literary_#_rink_rats_chapter1	11	en	ja	challenge_condrift	hyp-3	literary	NaN	90.64921569824219
en-ja_JP_#_literary_#_rink_rats_chapter1	11	en	ja	challenge_condrift	hyp-4	literary	NaN	90.5477294921875
en-ja_JP_#_literary_#_rink_rats_chapter1	12	en	ja	challenge_condrift	hyp-1	literary	NaN	89.7969741821289
en-ja_JP_#_literary_#_rink_rats_chapter1	12	en	ja	challenge_condrift	hyp-2	literary	NaN	89.7969741821289
en-ja_JP_#_literary_#_rink_rats_chapter1	12	en	ja	challenge_condrift	hyp-3	literary	NaN	89.96717834472656
en-ja_JP_#_literary_#_rink_rats_chapter1	12	en	ja	challenge_condrift	hyp-4	literary	NaN	88.13102722167969
en-ja_JP_#_literary_#_rink_rats_chapter1	13	en	ja	challenge_condrift	hyp-1	literary	NaN	90.14918518066406
en-ja_JP_#_literary_#_rink_rats_chapter1	13	en	ja	challenge_condrift	hyp-2	literary	NaN	91.02227783203125
en-ja_JP_#_literary_#_rink_rats_chapter1	13	en	ja	challenge_condrift	hyp-3	literary	NaN	89.37049865722656
en-ja_JP_#_literary_#_rink_rats_chapter1	13	en	ja	challenge_condrift	hyp-4	literary	NaN	88.31005096435547
en-ja_JP_#_literary_#_rink_rats_chapter1	14	en	ja	challenge_condrift	hyp-1	literary	NaN	89.78884887695312
en-ja_JP_#_literary_#_rink_rats_chapter1	14	en	ja	challenge_condrift	hyp-2	literary	NaN	89.83811950683594
en-ja_JP_#_literary_#_rink_rats_chapter1	14	en	ja	challenge_condrift	hyp-3	literary	NaN	90.1630859375
en-ja_JP_#_literary_#_rink_rats_chapter1	14	en	ja	challenge_condrift	hyp-4	literary	NaN	90.29106140136719
en-ja_JP_#_literary_#_rink_rats_chapter1	15	en	ja	challenge_condrift	hyp-1	literary	NaN	89.65911102294922
en-ja_JP_#_literary_#_rink_rats_chapter1	15	en	ja	challenge_condrift	hyp-2	literary	NaN	89.15957641601562
en-ja_JP_#_literary_#_rink_rats_chapter1	15	en	ja	challenge_condrift	hyp-3	literary	NaN	89.15933227539062
en-ja_JP_#_literary_#_rink_rats_chapter1	15	en	ja	challenge_condrift	hyp-4	literary	NaN	89.65911102294922
en-ja_JP_#_literary_#_rink_rats_chapter1	16	en	ja	challenge_condrift	hyp-1	literary	NaN	90.98429870605469
en-ja_JP_#_literary_#_rink_rats_chapter1	16	en	ja	challenge_condrift	hyp-2	literary	NaN	90.77078247070312
en-ja_JP_#_literary_#_rink_rats_chapter1	16	en	ja	challenge_condrift	hyp-3	literary	NaN	90.42416381835938
en-ja_JP_#_literary_#_rink_rats_chapter1	16	en	ja	challenge_condrift	hyp-4	literary	NaN	91.01522827148438
en-ja_JP_#_literary_#_rink_rats_chapter1	17	en	ja	challenge_condrift	hyp-1	literary	NaN	88.62281799316406
en-ja_JP_#_literary_#_rink_rats_chapter1	17	en	ja	challenge_condrift	hyp-2	literary	NaN	89.4430923461914
en-ja_JP_#_literary_#_rink_rats_chapter1	17	en	ja	challenge_condrift	hyp-3	literary	NaN	89.15948486328125
en-ja_JP_#_literary_#_rink_rats_chapter1	17	en	ja	challenge_condrift	hyp-4	literary	NaN	88.1901626586914
en-ja_JP_#_literary_#_rink_rats_chapter1	18	en	ja	challenge_condrift	hyp-1	literary	NaN	90.45985412597656
en-ja_JP_#_literary_#_rink_rats_chapter1	18	en	ja	challenge_condrift	hyp-2	literary	NaN	90.39144897460938
en-ja_JP_#_literary_#_rink_rats_chapter1	18	en	ja	challenge_condrift	hyp-3	literary	NaN	88.87588500976562
en-ja_JP_#_literary_#_rink_rats_chapter1	18	en	ja	challenge_condrift	hyp-4	literary	NaN	90.33718872070312
en-ja_JP_#_literary_#_rink_rats_chapter1	19	en	ja	challenge_condrift	hyp-1	literary	NaN	88.96836853027344
en-ja_JP_#_literary_#_rink_rats_chapter1	19	en	ja	challenge_condrift	hyp-2	literary	NaN	88.99427032470703
en-ja_JP_#_literary_#_rink_rats_chapter1	19	en	ja	challenge_condrift	hyp-3	literary	NaN	89.41397094726562
en-ja_JP_#_literary_#_rink_rats_chapter1	19	en	ja	challenge_condrift	hyp-4	literary	NaN	89.00386810302734
en-ja_JP_#_literary_#_rink_rats_chapter1	20	en	ja	challenge_condrift	hyp-1	literary	NaN	87.97335815429688
en-ja_JP_#_literary_#_rink_rats_chapter1	20	en	ja	challenge_condrift	hyp-2	literary	NaN	87.67560577392578
en-ja_JP_#_literary_#_rink_rats_chapter1	20	en	ja	challenge_condrift	hyp-3	literary	NaN	88.11563873291016
en-ja_JP_#_literary_#_rink_rats_chapter1	20	en	ja	challenge_condrift	hyp-4	literary	NaN	87.73347473144531
en-ja_JP_#_literary_#_rink_rats_chapter1	21	en	ja	challenge_condrift	hyp-1	literary	NaN	91.76657104492188
en-ja_JP_#_literary_#_rink_rats_chapter1	21	en	ja	challenge_condrift	hyp-2	literary	NaN	91.44512939453125
en-ja_JP_#_literary_#_rink_rats_chapter1	21	en	ja	challenge_condrift	hyp-3	literary	NaN	91.30206298828125
en-ja_JP_#_literary_#_rink_rats_chapter1	21	en	ja	challenge_condrift	hyp-4	literary	NaN	91.66865539550781
en-ja_JP_#_literary_#_rink_rats_chapter1	22	en	ja	challenge_condrift	hyp-1	literary	NaN	89.02157592773438
en-ja_JP_#_literary_#_rink_rats_chapter1	22	en	ja	challenge_condrift	hyp-2	literary	NaN	89.94564819335938
en-ja_JP_#_literary_#_rink_rats_chapter1	22	en	ja	challenge_condrift	hyp-3	literary	NaN	88.81607055664062
en-ja_JP_#_literary_#_rink_rats_chapter1	22	en	ja	challenge_condrift	hyp-4	literary	NaN	90.29637908935547
en-ja_JP_#_literary_#_rink_rats_chapter1	23	en	ja	challenge_condrift	hyp-1	literary	NaN	89.98241424560547
en-ja_JP_#_literary_#_rink_rats_chapter1	23	en	ja	challenge_condrift	hyp-2	literary	NaN	89.83688354492188
en-ja_JP_#_literary_#_rink_rats_chapter1	23	en	ja	challenge_condrift	hyp-3	literary	NaN	88.99211883544922
en-ja_JP_#_literary_#_rink_rats_chapter1	23	en	ja	challenge_condrift	hyp-4	literary	NaN	90.9415054321289
en-ja_JP_#_literary_#_rink_rats_chapter1	24	en	ja	challenge_condrift	hyp-1	literary	NaN	86.73513793945312
en-ja_JP_#_literary_#_rink_rats_chapter1	24	en	ja	challenge_condrift	hyp-2	literary	NaN	88.23639678955078
en-ja_JP_#_literary_#_rink_rats_chapter1	24	en	ja	challenge_condrift	hyp-3	literary	NaN	86.49034118652344
en-ja_JP_#_literary_#_rink_rats_chapter1	24	en	ja	challenge_condrift	hyp-4	literary	NaN	86.88098907470703
en-ja_JP_#_literary_#_rink_rats_chapter1	25	en	ja	challenge_condrift	hyp-1	literary	NaN	89.8902816772461
en-ja_JP_#_literary_#_rink_rats_chapter1	25	en	ja	challenge_condrift	hyp-2	literary	NaN	91.05908203125
en-ja_JP_#_literary_#_rink_rats_chapter1	25	en	ja	challenge_condrift	hyp-3	literary	NaN	91.12986755371094
en-ja_JP_#_literary_#_rink_rats_chapter1	25	en	ja	challenge_condrift	hyp-4	literary	NaN	90.67604064941406
en-ja_JP_#_literary_#_rink_rats_chapter1	26	en	ja	challenge_condrift	hyp-1	literary	NaN	89.1152572631836
en-ja_JP_#_literary_#_rink_rats_chapter1	26	en	ja	challenge_condrift	hyp-2	literary	NaN	91.04733276367188
en-ja_JP_#_literary_#_rink_rats_chapter1	26	en	ja	challenge_condrift	hyp-3	literary	NaN	90.35935974121094
en-ja_JP_#_literary_#_rink_rats_chapter1	26	en	ja	challenge_condrift	hyp-4	literary	NaN	89.83879852294922
en-ja_JP_#_literary_#_rink_rats_chapter1	27	en	ja	challenge_condrift	hyp-1	literary	NaN	88.75210571289062
