doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
en-ja_JP_#_literary_#_rink_rats_chapter1	1	en	ja	challenge_condrift	hyp-1	literary		-1.317270
en-ja_JP_#_literary_#_rink_rats_chapter1	1	en	ja	challenge_condrift	hyp-2	literary		-1.238115
en-ja_JP_#_literary_#_rink_rats_chapter1	1	en	ja	challenge_condrift	hyp-3	literary		-1.561153
en-ja_JP_#_literary_#_rink_rats_chapter1	1	en	ja	challenge_condrift	hyp-4	literary		-1.262676
en-ja_JP_#_literary_#_rink_rats_chapter1	2	en	ja	challenge_condrift	hyp-1	literary		-0.884756
en-ja_JP_#_literary_#_rink_rats_chapter1	2	en	ja	challenge_condrift	hyp-2	literary		-0.884756
en-ja_JP_#_literary_#_rink_rats_chapter1	2	en	ja	challenge_condrift	hyp-3	literary		-1.234530
en-ja_JP_#_literary_#_rink_rats_chapter1	2	en	ja	challenge_condrift	hyp-4	literary		-1.111011
en-ja_JP_#_literary_#_rink_rats_chapter1	3	en	ja	challenge_condrift	hyp-1	literary		-1.253699
en-ja_JP_#_literary_#_rink_rats_chapter1	3	en	ja	challenge_condrift	hyp-2	literary		-1.131202
en-ja_JP_#_literary_#_rink_rats_chapter1	3	en	ja	challenge_condrift	hyp-3	literary		-1.213975
en-ja_JP_#_literary_#_rink_rats_chapter1	3	en	ja	challenge_condrift	hyp-4	literary		-1.891582
en-ja_JP_#_literary_#_rink_rats_chapter1	4	en	ja	challenge_condrift	hyp-1	literary		-1.279527
en-ja_JP_#_literary_#_rink_rats_chapter1	4	en	ja	challenge_condrift	hyp-2	literary		-1.115642
en-ja_JP_#_literary_#_rink_rats_chapter1	4	en	ja	challenge_condrift	hyp-3	literary		-1.217866
en-ja_JP_#_literary_#_rink_rats_chapter1	4	en	ja	challenge_condrift	hyp-4	literary		-1.057342
en-ja_JP_#_literary_#_rink_rats_chapter1	5	en	ja	challenge_condrift	hyp-1	literary		-0.836408
en-ja_JP_#_literary_#_rink_rats_chapter1	5	en	ja	challenge_condrift	hyp-2	literary		-1.340699
