doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362	1	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.457762
ja-zh_CN_#_news_#_ise_shimbun-ja.13302	2	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.488089
ja-zh_CN_#_news_#_ise_shimbun-ja.13386	3	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.472418
ja-zh_CN_#_news_#_ise_shimbun-ja.13411	4	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.492120
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8089	5	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.443237
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8098	6	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.462361
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8104	7	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.460554
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8189	8	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.502583
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8204	9	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.468739
ja-zh_CN_#_news_#_iwate_nippo-ja.27441	10	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.502030
ja-zh_CN_#_news_#_iwate_nippo-ja.27472	11	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.448326
ja-zh_CN_#_news_#_iwate_nippo-ja.27622	12	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.464711
ja-zh_CN_#_news_#_iwate_nippo-ja.27826	13	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.494356
ja-zh_CN_#_news_#_nankai_nichinichi_shimbun-ja.6127	14	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.481763
ja-zh_CN_#_news_#_saga_shimbun-ja.46199	15	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.467600
ja-zh_CN_#_news_#_saga_shimbun-ja.46235	16	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.471806
ja-zh_CN_#_news_#_saga_shimbun-ja.46387	17	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.502504
ja-zh_CN_#_news_#_saga_shimbun-ja.46491	18	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.474282
ja-zh_CN_#_news_#_saga_shimbun-ja.46621	19	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.477490
ja-zh_CN_#_news_#_saga_shimbun-ja.46659	20	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.481734
ja-zh_CN_#_news_#_saga_shimbun-ja.46689	21	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.469835
ja-zh_CN_#_news_#_saga_shimbun-ja.46796	22	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.488766
ja-zh_CN_#_news_#_sanyo_shimbun-ja.32196	23	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.470558
ja-zh_CN_#_news_#_sanyo_shimbun-ja.32201	24	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.473612
ja-zh_CN_#_news_#_sanyo_shimbun-ja.32232	25	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.485296
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.3993	26	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.448245
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4011	27	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.462232
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4014	28	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.450077
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4029	29	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.483201
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4035	30	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.471569
