doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362	1	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.3790
ja-zh_CN_#_news_#_ise_shimbun-ja.13302	2	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.2260
ja-zh_CN_#_news_#_ise_shimbun-ja.13386	3	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.2219
ja-zh_CN_#_news_#_ise_shimbun-ja.13411	4	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.3852
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8089	5	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.3031
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8098	6	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.2233
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8104	7	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.3300
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8189	8	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.2977
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8204	9	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.3792
ja-zh_CN_#_news_#_iwate_nippo-ja.27441	10	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.2347
ja-zh_CN_#_news_#_iwate_nippo-ja.27472	11	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.4118
ja-zh_CN_#_news_#_iwate_nippo-ja.27622	12	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.4137
ja-zh_CN_#_news_#_iwate_nippo-ja.27826	13	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.3179
ja-zh_CN_#_news_#_nankai_nichinichi_shimbun-ja.6127	14	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.2242
ja-zh_CN_#_news_#_saga_shimbun-ja.46199	15	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.2350
ja-zh_CN_#_news_#_saga_shimbun-ja.46235	16	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.2336
