doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362	1	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.6550
ja-zh_CN_#_news_#_ise_shimbun-ja.13302	2	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	2.0239
ja-zh_CN_#_news_#_ise_shimbun-ja.13386	3	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.3857
ja-zh_CN_#_news_#_ise_shimbun-ja.13411	4	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	2.6311
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8089	5	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.6365
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8098	6	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.7488
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8104	7	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.9643
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8189	8	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.5207
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8204	9	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.9855
ja-zh_CN_#_news_#_iwate_nippo-ja.27441	10	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.9487
ja-zh_CN_#_news_#_iwate_nippo-ja.27472	11	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	2.1509
ja-zh_CN_#_news_#_iwate_nippo-ja.27622	12	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.6659
ja-zh_CN_#_news_#_iwate_nippo-ja.27826	13	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	2.3348
ja-zh_CN_#_news_#_nankai_nichinichi_shimbun-ja.6127	14	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	2.0300
ja-zh_CN_#_news_#_saga_shimbun-ja.46199	15	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.8128
ja-zh_CN_#_news_#_saga_shimbun-ja.46235	16	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	2.5367
ja-zh_CN_#_news_#_saga_shimbun-ja.46387	17	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.9434
ja-zh_CN_#_news_#_saga_shimbun-ja.46491	18	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	2.2839
ja-zh_CN_#_news_#_saga_shimbun-ja.46621	19	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	2.2565
ja-zh_CN_#_news_#_saga_shimbun-ja.46659	20	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	2.3338
ja-zh_CN_#_news_#_saga_shimbun-ja.46689	21	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.8513
ja-zh_CN_#_news_#_saga_shimbun-ja.46796	22	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	2.7191
ja-zh_CN_#_news_#_sanyo_shimbun-ja.32196	23	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	2.6591
ja-zh_CN_#_news_#_sanyo_shimbun-ja.32201	24	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.7147
ja-zh_CN_#_news_#_sanyo_shimbun-ja.32232	25	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.5041
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.3993	26	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	0.4470
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4011	27	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.9815
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4014	28	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.1994
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4029	29	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.2570
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4035	30	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	2.1479
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4038	31	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.9953
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4050	32	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	1.3926
ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362	1	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	9.0316
ja-zh_CN_#_news_#_ise_shimbun-ja.13302	2	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	6.9506
ja-zh_CN_#_news_#_ise_shimbun-ja.13386	3	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	4.9370
ja-zh_CN_#_news_#_ise_shimbun-ja.13411	4	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	7.2383
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8089	5	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	5.4960
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8098	6	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	6.2420
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8104	7	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	8.6153
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8189	8	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	6.2186
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8204	9	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	7.2292
ja-zh_CN_#_news_#_iwate_nippo-ja.27441	10	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	8.4927
ja-zh_CN_#_news_#_iwate_nippo-ja.27472	11	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	5.7588
ja-zh_CN_#_news_#_iwate_nippo-ja.27622	12	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	8.4717
ja-zh_CN_#_news_#_iwate_nippo-ja.27826	13	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	8.3426
ja-zh_CN_#_news_#_nankai_nichinichi_shimbun-ja.6127	14	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	6.4062
ja-zh_CN_#_news_#_saga_shimbun-ja.46199	15	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	7.4268
ja-zh_CN_#_news_#_saga_shimbun-ja.46235	16	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	9.0333
ja-zh_CN_#_news_#_saga_shimbun-ja.46387	17	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	9.7426
ja-zh_CN_#_news_#_saga_shimbun-ja.46491	18	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	6.8030
ja-zh_CN_#_news_#_saga_shimbun-ja.46621	19	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	6.5328
ja-zh_CN_#_news_#_saga_shimbun-ja.46659	20	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	7.5708
ja-zh_CN_#_news_#_saga_shimbun-ja.46689	21	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	6.9822
ja-zh_CN_#_news_#_saga_shimbun-ja.46796	22	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	9.3319
ja-zh_CN_#_news_#_sanyo_shimbun-ja.32196	23	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	5.4284
ja-zh_CN_#_news_#_sanyo_shimbun-ja.32201	24	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	6.0208
ja-zh_CN_#_news_#_sanyo_shimbun-ja.32232	25	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	6.5165
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.3993	26	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	3.5698
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4011	27	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	7.1852
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4014	28	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	5.5572
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4029	29	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	4.6812
ja-zh_CN_#_news_#_yaeyama_mainichi_shimbun-ja.4035	30	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	7.1086
