doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362	1	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	-27.096912384033203
ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362	1	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	-35.562103271484375
ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362	1	ja	zh_CN	challenge_mslc-a	hyp-3	news	NaN	-35.629066467285156
ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362	1	ja	zh_CN	challenge_mslc-a	hyp-4	news	NaN	-31.112016677856445
ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362	1	ja	zh_CN	challenge_mslc-a	hyp-5	news	NaN	-28.851215362548828
ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362	1	ja	zh_CN	challenge_mslc-a	hyp-6	news	NaN	-24.287633895874023
ja-zh_CN_#_news_#_ise_shimbun-ja.13302	2	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	-25.347747802734375
ja-zh_CN_#_news_#_ise_shimbun-ja.13302	2	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	-26.212900161743164
ja-zh_CN_#_news_#_ise_shimbun-ja.13302	2	ja	zh_CN	challenge_mslc-a	hyp-3	news	NaN	-22.508705139160156
ja-zh_CN_#_news_#_ise_shimbun-ja.13302	2	ja	zh_CN	challenge_mslc-a	hyp-4	news	NaN	-27.42695426940918
ja-zh_CN_#_news_#_ise_shimbun-ja.13302	2	ja	zh_CN	challenge_mslc-a	hyp-5	news	NaN	-29.25052833557129
ja-zh_CN_#_news_#_ise_shimbun-ja.13302	2	ja	zh_CN	challenge_mslc-a	hyp-6	news	NaN	-19.842870712280273
ja-zh_CN_#_news_#_ise_shimbun-ja.13386	3	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	-25.460224151611328
ja-zh_CN_#_news_#_ise_shimbun-ja.13386	3	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	-30.35678482055664
ja-zh_CN_#_news_#_ise_shimbun-ja.13386	3	ja	zh_CN	challenge_mslc-a	hyp-3	news	NaN	-31.647510528564453
ja-zh_CN_#_news_#_ise_shimbun-ja.13386	3	ja	zh_CN	challenge_mslc-a	hyp-4	news	NaN	-33.03557586669922
ja-zh_CN_#_news_#_ise_shimbun-ja.13386	3	ja	zh_CN	challenge_mslc-a	hyp-5	news	NaN	-23.975807189941406
ja-zh_CN_#_news_#_ise_shimbun-ja.13386	3	ja	zh_CN	challenge_mslc-a	hyp-6	news	NaN	-22.00913429260254
ja-zh_CN_#_news_#_ise_shimbun-ja.13411	4	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	-29.19972801208496
ja-zh_CN_#_news_#_ise_shimbun-ja.13411	4	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	-33.29975128173828
ja-zh_CN_#_news_#_ise_shimbun-ja.13411	4	ja	zh_CN	challenge_mslc-a	hyp-3	news	NaN	-33.00066375732422
