doc_id	segment_id	source_lang	target_lang	set_id	system_id	domain_name	method	overall
ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362	1	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	55.03754806518555
ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362	1	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	70.05490112304688
ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362	1	ja	zh_CN	challenge_mslc-a	hyp-3	news	NaN	71.79534912109375
ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362	1	ja	zh_CN	challenge_mslc-a	hyp-4	news	NaN	82.40239715576172
ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362	1	ja	zh_CN	challenge_mslc-a	hyp-5	news	NaN	72.4908447265625
ja-zh_CN_#_news_#_hokkaido_shimbun-ja.82362	1	ja	zh_CN	challenge_mslc-a	hyp-6	news	NaN	92.211181640625
ja-zh_CN_#_news_#_ise_shimbun-ja.13302	2	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	53.59690475463867
ja-zh_CN_#_news_#_ise_shimbun-ja.13302	2	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	67.11199188232422
ja-zh_CN_#_news_#_ise_shimbun-ja.13302	2	ja	zh_CN	challenge_mslc-a	hyp-3	news	NaN	64.8473129272461
ja-zh_CN_#_news_#_ise_shimbun-ja.13302	2	ja	zh_CN	challenge_mslc-a	hyp-4	news	NaN	59.08071517944336
ja-zh_CN_#_news_#_ise_shimbun-ja.13302	2	ja	zh_CN	challenge_mslc-a	hyp-5	news	NaN	58.37914276123047
ja-zh_CN_#_news_#_ise_shimbun-ja.13302	2	ja	zh_CN	challenge_mslc-a	hyp-6	news	NaN	87.32064056396484
ja-zh_CN_#_news_#_ise_shimbun-ja.13386	3	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	48.010982513427734
ja-zh_CN_#_news_#_ise_shimbun-ja.13386	3	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	57.5903205871582
ja-zh_CN_#_news_#_ise_shimbun-ja.13386	3	ja	zh_CN	challenge_mslc-a	hyp-3	news	NaN	63.233375549316406
ja-zh_CN_#_news_#_ise_shimbun-ja.13386	3	ja	zh_CN	challenge_mslc-a	hyp-4	news	NaN	74.32644653320312
ja-zh_CN_#_news_#_ise_shimbun-ja.13386	3	ja	zh_CN	challenge_mslc-a	hyp-5	news	NaN	83.9754867553711
ja-zh_CN_#_news_#_ise_shimbun-ja.13386	3	ja	zh_CN	challenge_mslc-a	hyp-6	news	NaN	86.6745834350586
ja-zh_CN_#_news_#_ise_shimbun-ja.13411	4	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	43.490360260009766
ja-zh_CN_#_news_#_ise_shimbun-ja.13411	4	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	57.499534606933594
ja-zh_CN_#_news_#_ise_shimbun-ja.13411	4	ja	zh_CN	challenge_mslc-a	hyp-3	news	NaN	70.54167938232422
ja-zh_CN_#_news_#_ise_shimbun-ja.13411	4	ja	zh_CN	challenge_mslc-a	hyp-4	news	NaN	73.31642150878906
ja-zh_CN_#_news_#_ise_shimbun-ja.13411	4	ja	zh_CN	challenge_mslc-a	hyp-5	news	NaN	81.32945251464844
ja-zh_CN_#_news_#_ise_shimbun-ja.13411	4	ja	zh_CN	challenge_mslc-a	hyp-6	news	NaN	88.79837799072266
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8089	5	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	34.785552978515625
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8089	5	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	73.68404388427734
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8089	5	ja	zh_CN	challenge_mslc-a	hyp-3	news	NaN	64.94447326660156
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8089	5	ja	zh_CN	challenge_mslc-a	hyp-4	news	NaN	86.17505645751953
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8089	5	ja	zh_CN	challenge_mslc-a	hyp-5	news	NaN	82.2036361694336
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8089	5	ja	zh_CN	challenge_mslc-a	hyp-6	news	NaN	89.68820190429688
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8098	6	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	42.395511627197266
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8098	6	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	61.2740592956543
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8098	6	ja	zh_CN	challenge_mslc-a	hyp-3	news	NaN	67.25938415527344
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8098	6	ja	zh_CN	challenge_mslc-a	hyp-4	news	NaN	42.31055450439453
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8098	6	ja	zh_CN	challenge_mslc-a	hyp-5	news	NaN	80.90045928955078
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8098	6	ja	zh_CN	challenge_mslc-a	hyp-6	news	NaN	86.62999725341797
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8104	7	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	43.36057662963867
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8104	7	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	72.5284194946289
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8104	7	ja	zh_CN	challenge_mslc-a	hyp-3	news	NaN	70.44145965576172
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8104	7	ja	zh_CN	challenge_mslc-a	hyp-4	news	NaN	81.41486358642578
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8104	7	ja	zh_CN	challenge_mslc-a	hyp-5	news	NaN	80.2507553100586
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8104	7	ja	zh_CN	challenge_mslc-a	hyp-6	news	NaN	92.28418731689453
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8189	8	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	46.5225830078125
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8189	8	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	65.25984954833984
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8189	8	ja	zh_CN	challenge_mslc-a	hyp-3	news	NaN	67.6841812133789
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8189	8	ja	zh_CN	challenge_mslc-a	hyp-4	news	NaN	80.77140808105469
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8189	8	ja	zh_CN	challenge_mslc-a	hyp-5	news	NaN	81.44309997558594
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8189	8	ja	zh_CN	challenge_mslc-a	hyp-6	news	NaN	87.01901245117188
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8204	9	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	46.3731575012207
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8204	9	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	66.23217010498047
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8204	9	ja	zh_CN	challenge_mslc-a	hyp-3	news	NaN	71.75586700439453
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8204	9	ja	zh_CN	challenge_mslc-a	hyp-4	news	NaN	81.17241668701172
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8204	9	ja	zh_CN	challenge_mslc-a	hyp-5	news	NaN	84.03434753417969
ja-zh_CN_#_news_#_iwate_nichinichi_shimbun-ja.8204	9	ja	zh_CN	challenge_mslc-a	hyp-6	news	NaN	89.4217758178711
ja-zh_CN_#_news_#_iwate_nippo-ja.27441	10	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	51.377132415771484
ja-zh_CN_#_news_#_iwate_nippo-ja.27441	10	ja	zh_CN	challenge_mslc-a	hyp-2	news	NaN	73.38617706298828
ja-zh_CN_#_news_#_iwate_nippo-ja.27441	10	ja	zh_CN	challenge_mslc-a	hyp-3	news	NaN	74.98295593261719
ja-zh_CN_#_news_#_iwate_nippo-ja.27441	10	ja	zh_CN	challenge_mslc-a	hyp-4	news	NaN	74.31657409667969
ja-zh_CN_#_news_#_iwate_nippo-ja.27441	10	ja	zh_CN	challenge_mslc-a	hyp-5	news	NaN	82.37323760986328
ja-zh_CN_#_news_#_iwate_nippo-ja.27441	10	ja	zh_CN	challenge_mslc-a	hyp-6	news	NaN	89.47798919677734
ja-zh_CN_#_news_#_iwate_nippo-ja.27472	11	ja	zh_CN	challenge_mslc-a	hyp-1	news	NaN	44.67030334472656
